Index;date_demande;formule;points_perdus;tranches_age;classes_revenu;a_enfants;type_conduite;type_vehicule;usage_vehicule
38;2022-05-26 21:39:06;dev_integral;0;adulte;+100K;Non;Highly Urban/ Urban;Minivan;Private
39;2022-03-04 15:36:05;dev_premium;1;adulte;"[+50K;75K]";Non;z_Highly Rural/ Rural;z_SUV;Private
40;2022-05-31 13:11:08;dev_express;0;jeune;"[0;25K]";Oui;Highly Urban/ Urban;Sports Car;Private
41;2022-04-30 23:20:28;dev_express;5;agé;"[0;25K]";Oui;Highly Urban/ Urban;z_SUV;Private
42;2022-03-20 04:00:15;dev_express;0;adulte;"[0;25K]";Oui;Highly Urban/ Urban;Pickup;Commercial
43;2022-04-02 11:25:10;dev_premium;0;adulte;"[+50K;75K]";Oui;Highly Urban/ Urban;Pickup;Private
44;2022-01-02 20:05:48;dev_integral;0;adulte;"[+75K;100K]";Non;Highly Urban/ Urban;z_SUV;Private
45;2022-02-24 21:52:11;dev_express;4;agé;"[+75K;100K]";Non;Highly Urban/ Urban;z_SUV;Private
46;2022-04-05 02:47:59;dev_express;1;agé;"[0;25K]";Oui;Highly Urban/ Urban;z_SUV;Private
47;2022-02-21 11:50:32;dev_integral;1;adulte;+100K;Non;Highly Urban/ Urban;Panel Truck;Commercial
48;2022-03-21 00:37:40;dev_integral;0;agé;"[+75K;100K]";Non;Highly Urban/ Urban;Van;Commercial
49;2022-04-03 12:30:15;dev_integral;1;adulte;"[+50K;75K]";Oui;z_Highly Rural/ Rural;Van;Private
50;2022-03-28 23:57:50;dev_integral;7;jeune;"[+25K;50K]";Non;Highly Urban/ Urban;Pickup;Commercial
51;2022-03-21 07:59:29;dev_express;1;adulte;"[+25K;50K]";Oui;Highly Urban/ Urban;Minivan;Private
52;2022-05-23 09:33:05;dev_express;0;jeune;+100K;Non;Highly Urban/ Urban;Minivan;Private
53;2022-05-03 20:20:41;dev_express;0;adulte;"[+50K;75K]";Non;Highly Urban/ Urban;Sports Car;Private
54;2022-04-11 14:51:15;dev_express;5;jeune;"[+75K;100K]";Non;z_Highly Rural/ Rural;Minivan;Commercial
55;2022-01-05 09:29:53;dev_premium;0;adulte;"[+75K;100K]";Non;Highly Urban/ Urban;Van;Private
56;2022-05-14 13:46:00;dev_integral;4;adulte;"[+25K;50K]";Oui;Highly Urban/ Urban;Van;Commercial
57;2022-04-20 10:04:08;dev_express;2;jeune;"[+50K;75K]";Non;Highly Urban/ Urban;z_SUV;Private
58;2022-01-22 11:01:49;dev_express;0;agé;"[+25K;50K]";Oui;Highly Urban/ Urban;Van;Private
59;2022-04-26 16:17:11;dev_express;1;jeune;"[+25K;50K]";Oui;Highly Urban/ Urban;Sports Car;Private
60;2022-03-23 15:45:03;dev_integral;0;agé;"[+75K;100K]";Non;Highly Urban/ Urban;Minivan;Private
61;2022-04-27 03:37:13;dev_express;0;adulte;"[+25K;50K]";Non;Highly Urban/ Urban;Pickup;Private
62;2022-05-24 02:44:42;dev_integral;0;agé;"[+50K;75K]";Oui;Highly Urban/ Urban;Van;Commercial
63;2022-05-09 23:43:14;dev_express;0;agé;"[+25K;50K]";Oui;Highly Urban/ Urban;Sports Car;Private
64;2022-04-22 08:38:06;dev_integral;0;jeune;"[0;25K]";Non;Highly Urban/ Urban;z_SUV;Private
65;2022-05-17 07:36:25;dev_express;5;adulte;"[+50K;75K]";Non;Highly Urban/ Urban;z_SUV;Private
66;2022-05-01 22:37:09;dev_express;0;agé;"[+75K;100K]";Non;Highly Urban/ Urban;Pickup;Private
67;2022-05-29 10:50:34;dev_express;3;adulte;"[0;25K]";Non;z_Highly Rural/ Rural;Minivan;Private
68;2022-04-04 09:48:20;dev_express;2;agé;"[0;25K]";Oui;Highly Urban/ Urban;z_SUV;Private
69;2022-01-27 21:31:36;dev_integral;1;jeune;"[+75K;100K]";Non;Highly Urban/ Urban;Pickup;Commercial
70;2022-01-13 03:29:34;dev_integral;0;jeune;"[+75K;100K]";Non;Highly Urban/ Urban;z_SUV;Private
71;2022-01-08 11:18:24;dev_express;2;adulte;+100K;Non;Highly Urban/ Urban;z_SUV;Private
72;2022-04-05 09:02:25;dev_integral;2;jeune;"[+75K;100K]";Non;Highly Urban/ Urban;Minivan;Private
73;2022-02-14 02:00:18;dev_premium;2;agé;"[+75K;100K]";Oui;z_Highly Rural/ Rural;Minivan;Private
74;2022-01-14 13:12:49;dev_express;0;agé;"[+25K;50K]";Non;Highly Urban/ Urban;Pickup;Private
75;2022-04-20 02:38:57;dev_integral;1;jeune;+100K;Non;Highly Urban/ Urban;z_SUV;Private
76;2022-05-10 13:40:32;dev_express;5;agé;"[+50K;75K]";Non;Highly Urban/ Urban;Minivan;Commercial
77;2022-01-24 17:35:29;dev_premium;4;adulte;"[+25K;50K]";Non;Highly Urban/ Urban;Panel Truck;Commercial
78;2022-02-01 04:48:31;dev_express;4;adulte;"[+25K;50K]";Non;Highly Urban/ Urban;Minivan;Private
79;2022-04-20 07:29:52;dev_premium;1;adulte;+100K;Non;Highly Urban/ Urban;Minivan;Private
80;2022-01-02 10:07:51;dev_express;0;agé;"[0;25K]";Non;z_Highly Rural/ Rural;Sports Car;Private
81;2022-02-18 08:51:16;dev_express;0;agé;+100K;Non;z_Highly Rural/ Rural;Van;Commercial
82;2022-04-27 19:14:40;dev_express;0;agé;"[+25K;50K]";Oui;Highly Urban/ Urban;z_SUV;Commercial
83;2022-05-09 03:37:15;dev_express;1;agé;"[0;25K]";Non;z_Highly Rural/ Rural;Sports Car;Private
84;2022-01-14 21:13:17;dev_express;2;adulte;"[+50K;75K]";Non;Highly Urban/ Urban;Pickup;Commercial
85;2022-03-30 13:20:35;dev_express;0;adulte;"[+25K;50K]";Non;Highly Urban/ Urban;Minivan;Private
86;2022-01-25 00:58:49;dev_premium;0;adulte;"[0;25K]";Non;Highly Urban/ Urban;Minivan;Private
87;2022-05-28 07:13:31;dev_express;0;jeune;"[0;25K]";Oui;z_Highly Rural/ Rural;z_SUV;Private
88;2022-02-12 08:10:42;dev_premium;0;adulte;"[+25K;50K]";Non;Highly Urban/ Urban;Minivan;Private
89;2022-01-11 16:57:31;dev_integral;0;adulte;"[+25K;50K]";Oui;z_Highly Rural/ Rural;Sports Car;Private
90;2022-04-15 05:20:26;dev_express;3;agé;"[+50K;75K]";Non;Highly Urban/ Urban;Minivan;Commercial
91;2022-03-28 10:41:36;dev_premium;1;jeune;"[0;25K]";Oui;Highly Urban/ Urban;Minivan;Private
92;2022-02-26 21:26:35;dev_premium;6;jeune;"[+75K;100K]";Non;Highly Urban/ Urban;Sports Car;Private
93;2022-01-17 08:39:03;dev_express;0;adulte;"[+50K;75K]";Non;Highly Urban/ Urban;Van;Private
94;2022-04-16 00:13:11;dev_integral;4;agé;"[+50K;75K]";Non;Highly Urban/ Urban;Pickup;Private
95;2022-01-12 03:39:07;dev_integral;1;adulte;"[+25K;50K]";Non;z_Highly Rural/ Rural;Pickup;Commercial
96;2022-03-23 01:48:58;dev_express;7;adulte;"[+25K;50K]";Non;Highly Urban/ Urban;Minivan;Private
97;2022-04-17 15:27:11;dev_integral;0;adulte;"[+50K;75K]";Oui;Highly Urban/ Urban;Minivan;Private
98;2022-05-05 04:13:46;dev_integral;1;adulte;"[+50K;75K]";Oui;Highly Urban/ Urban;Van;Private
99;2022-02-28 07:30:01;dev_integral;0;jeune;"[+50K;75K]";Non;Highly Urban/ Urban;z_SUV;Commercial
100;2022-02-12 17:39:26;dev_integral;2;agé;"[0;25K]";Oui;Highly Urban/ Urban;Pickup;Commercial
101;2022-01-07 19:37:36;dev_integral;0;jeune;"[+50K;75K]";Oui;Highly Urban/ Urban;Minivan;Private
102;2022-01-07 13:02:23;dev_integral;6;adulte;+100K;Non;Highly Urban/ Urban;Minivan;Private
103;2022-01-12 00:08:50;dev_express;4;jeune;+100K;Non;Highly Urban/ Urban;Panel Truck;Commercial
104;2022-05-24 14:39:09;dev_premium;1;adulte;"[+50K;75K]";Non;Highly Urban/ Urban;Minivan;Private
105;2022-03-25 12:49:02;dev_integral;0;jeune;"[0;25K]";Oui;Highly Urban/ Urban;Panel Truck;Commercial
106;2022-01-02 00:52:24;dev_integral;0;agé;"[0;25K]";Oui;Highly Urban/ Urban;Minivan;Private
107;2022-03-01 04:35:43;dev_integral;1;adulte;"[+50K;75K]";Oui;z_Highly Rural/ Rural;Minivan;Commercial
108;2022-01-28 11:20:20;dev_express;5;adulte;+100K;Oui;Highly Urban/ Urban;Minivan;Private
109;2022-04-29 08:01:10;dev_premium;0;agé;"[0;25K]";Non;Highly Urban/ Urban;z_SUV;Private
110;2022-01-20 00:10:54;dev_integral;0;adulte;"[+50K;75K]";Non;Highly Urban/ Urban;z_SUV;Commercial
111;2022-05-06 14:07:50;dev_express;0;adulte;+100K;Oui;Highly Urban/ Urban;Minivan;Commercial
112;2022-03-14 17:19:58;dev_express;0;agé;"[0;25K]";Oui;Highly Urban/ Urban;z_SUV;Private
113;2022-03-20 10:44:08;dev_express;2;agé;"[+25K;50K]";Oui;Highly Urban/ Urban;Minivan;Commercial
114;2022-01-18 01:43:26;dev_premium;0;adulte;"[+75K;100K]";Non;Highly Urban/ Urban;z_SUV;Private
115;2022-01-23 11:52:51;dev_premium;0;adulte;"[0;25K]";Oui;z_Highly Rural/ Rural;Minivan;Private
116;2022-01-07 23:42:14;dev_express;0;agé;"[+25K;50K]";Oui;z_Highly Rural/ Rural;Sports Car;Private
117;2022-01-02 23:14:48;dev_integral;0;adulte;"[0;25K]";Oui;Highly Urban/ Urban;Pickup;Private
118;2022-05-23 03:25:45;dev_integral;2;jeune;"[+50K;75K]";Oui;Highly Urban/ Urban;Sports Car;Commercial
119;2022-05-29 09:22:38;dev_integral;0;jeune;"[+75K;100K]";Non;Highly Urban/ Urban;Minivan;Private
120;2022-02-09 09:54:45;dev_integral;0;agé;"[0;25K]";Non;z_Highly Rural/ Rural;z_SUV;Private
121;2022-02-17 21:50:53;dev_express;2;adulte;"[+75K;100K]";Oui;Highly Urban/ Urban;Minivan;Private
122;2022-05-06 08:05:25;dev_integral;0;agé;+100K;Non;Highly Urban/ Urban;z_SUV;Private
123;2022-01-25 10:57:34;dev_integral;0;adulte;"[+50K;75K]";Non;Highly Urban/ Urban;Pickup;Private
124;2022-01-01 10:42:24;dev_integral;4;jeune;"[+25K;50K]";Oui;Highly Urban/ Urban;Van;Private
125;2022-04-02 23:05:22;dev_integral;0;jeune;"[+75K;100K]";Non;Highly Urban/ Urban;Minivan;Private
126;2022-04-14 03:03:58;dev_integral;2;agé;+100K;Non;Highly Urban/ Urban;Minivan;Private
127;2022-03-07 01:04:39;dev_express;7;jeune;"[0;25K]";Non;z_Highly Rural/ Rural;Minivan;Commercial
128;2022-04-04 21:37:30;dev_premium;1;jeune;"[+50K;75K]";Non;Highly Urban/ Urban;Sports Car;Commercial
129;2022-04-20 04:58:44;dev_express;1;adulte;+100K;Non;Highly Urban/ Urban;Minivan;Private
130;2022-02-25 11:43:53;dev_express;0;agé;"[0;25K]";Oui;Highly Urban/ Urban;Sports Car;Private
131;2022-05-28 00:32:29;dev_vip;8;agé;"[+25K;50K]";Oui;Highly Urban/ Urban;Minivan;Private
132;2022-03-18 05:26:00;dev_express;0;jeune;"[0;25K]";Oui;z_Highly Rural/ Rural;z_SUV;Private
133;2022-02-25 19:06:15;dev_express;3;adulte;"[+25K;50K]";Non;Highly Urban/ Urban;Minivan;Private
134;2022-04-08 14:50:30;dev_integral;0;jeune;"[+25K;50K]";Oui;Highly Urban/ Urban;z_SUV;Private
135;2022-05-01 13:47:03;dev_integral;0;agé;"[+75K;100K]";Oui;Highly Urban/ Urban;Minivan;Private
136;2022-03-27 09:47:05;dev_integral;2;jeune;"[+25K;50K]";Non;Highly Urban/ Urban;Van;Commercial
137;2022-05-11 02:14:17;dev_express;4;adulte;+100K;Oui;Highly Urban/ Urban;Van;Commercial
138;2022-05-31 03:31:23;dev_express;4;adulte;"[+25K;50K]";Oui;Highly Urban/ Urban;z_SUV;Commercial
139;2022-04-24 23:44:48;dev_premium;6;adulte;"[0;25K]";Oui;Highly Urban/ Urban;Sports Car;Private
140;2022-03-06 04:31:21;dev_integral;2;adulte;"[+75K;100K]";Non;Highly Urban/ Urban;Sports Car;Commercial
141;2022-02-18 17:27:16;dev_integral;0;adulte;+100K;Non;Highly Urban/ Urban;Minivan;Private
142;2022-01-05 05:06:12;dev_integral;0;jeune;+100K;Oui;Highly Urban/ Urban;Pickup;Private
143;2022-02-19 05:07:40;dev_premium;5;agé;"[+25K;50K]";Non;Highly Urban/ Urban;z_SUV;Private
144;2022-05-21 17:06:44;dev_express;7;agé;"[0;25K]";Oui;Highly Urban/ Urban;z_SUV;Commercial
145;2022-05-13 05:41:36;dev_express;2;adulte;"[+25K;50K]";Non;Highly Urban/ Urban;z_SUV;Private
146;2022-02-20 18:23:57;dev_integral;0;adulte;"[+75K;100K]";Non;Highly Urban/ Urban;z_SUV;Private
147;2022-04-16 08:28:15;dev_integral;1;adulte;"[0;25K]";Oui;z_Highly Rural/ Rural;z_SUV;Private
148;2022-03-03 11:37:05;dev_integral;0;agé;"[+75K;100K]";Non;Highly Urban/ Urban;z_SUV;Private
149;2022-02-26 20:58:16;dev_express;0;agé;"[+75K;100K]";Non;z_Highly Rural/ Rural;Minivan;Private
150;2022-02-19 07:35:30;dev_integral;0;agé;"[+25K;50K]";Non;Highly Urban/ Urban;Minivan;Private
151;2022-03-05 12:14:43;dev_express;2;agé;"[+50K;75K]";Non;Highly Urban/ Urban;z_SUV;Private
152;2022-01-11 23:53:26;dev_express;3;adulte;"[0;25K]";Oui;Highly Urban/ Urban;Minivan;Private
153;2022-03-25 21:08:25;dev_express;1;jeune;"[+25K;50K]";Non;Highly Urban/ Urban;Minivan;Private
154;2022-02-22 18:20:24;dev_integral;0;agé;"[+25K;50K]";Oui;z_Highly Rural/ Rural;Pickup;Commercial
155;2022-01-14 04:38:54;dev_integral;0;agé;+100K;Oui;Highly Urban/ Urban;Van;Commercial
156;2022-04-08 21:31:19;dev_express;5;agé;"[0;25K]";Oui;Highly Urban/ Urban;Sports Car;Private
157;2022-04-17 13:11:36;dev_integral;0;agé;"[+75K;100K]";Non;Highly Urban/ Urban;Pickup;Private
158;2022-05-14 20:36:25;dev_integral;0;agé;+100K;Non;z_Highly Rural/ Rural;Minivan;Commercial
159;2022-02-02 00:42:41;dev_integral;6;agé;"[+75K;100K]";Non;Highly Urban/ Urban;z_SUV;Commercial
160;2022-05-21 22:35:53;dev_integral;0;agé;"[+75K;100K]";Oui;Highly Urban/ Urban;Sports Car;Private
161;2022-03-09 16:06:41;dev_premium;2;jeune;+100K;Non;Highly Urban/ Urban;z_SUV;Private
162;2022-02-27 09:10:31;dev_integral;1;adulte;+100K;Oui;z_Highly Rural/ Rural;Minivan;Private
163;2022-04-03 03:15:39;dev_integral;0;agé;"[+25K;50K]";Oui;Highly Urban/ Urban;Minivan;Private
164;2022-04-02 11:55:09;dev_express;1;adulte;"[0;25K]";Non;z_Highly Rural/ Rural;Sports Car;Private
165;2022-04-08 07:47:22;dev_express;1;adulte;"[0;25K]";Oui;Highly Urban/ Urban;Minivan;Private
166;2022-05-31 15:46:19;dev_integral;0;agé;"[+50K;75K]";Oui;Highly Urban/ Urban;Sports Car;Private
167;2022-05-16 17:40:14;dev_integral;0;jeune;"[+25K;50K]";Oui;Highly Urban/ Urban;Pickup;Commercial
168;2022-04-22 13:14:59;dev_integral;1;adulte;+100K;Non;Highly Urban/ Urban;Panel Truck;Commercial
169;2022-05-30 08:43:49;dev_integral;2;agé;"[+25K;50K]";Non;Highly Urban/ Urban;z_SUV;Commercial
170;2022-02-01 00:03:49;dev_express;1;adulte;"[+75K;100K]";Oui;Highly Urban/ Urban;Pickup;Private
171;2022-05-31 16:23:24;dev_integral;2;jeune;"[0;25K]";Non;Highly Urban/ Urban;Minivan;Commercial
172;2022-02-16 07:07:53;dev_integral;0;adulte;"[+75K;100K]";Non;z_Highly Rural/ Rural;Minivan;Commercial
173;2022-05-21 22:01:47;dev_integral;0;adulte;"[+50K;75K]";Oui;Highly Urban/ Urban;Minivan;Private
174;2022-04-26 15:07:49;dev_express;2;adulte;"[0;25K]";Non;Highly Urban/ Urban;z_SUV;Private
175;2022-01-14 19:18:02;dev_integral;6;agé;+100K;Non;Highly Urban/ Urban;Pickup;Commercial
176;2022-02-16 23:39:17;dev_express;0;adulte;"[0;25K]";Non;Highly Urban/ Urban;Van;Commercial
177;2022-01-01 22:26:24;dev_express;0;jeune;"[0;25K]";Non;Highly Urban/ Urban;Sports Car;Private
178;2022-01-14 11:21:21;dev_integral;0;adulte;"[0;25K]";Oui;z_Highly Rural/ Rural;z_SUV;Private
179;2022-05-10 08:25:21;dev_premium;0;adulte;"[+25K;50K]";Oui;Highly Urban/ Urban;Van;Commercial
180;2022-05-02 22:21:52;dev_express;1;agé;"[+50K;75K]";Non;Highly Urban/ Urban;Pickup;Commercial
181;2022-02-10 04:16:56;dev_express;1;jeune;"[+25K;50K]";Oui;z_Highly Rural/ Rural;Van;Commercial
182;2022-01-08 11:44:49;dev_integral;0;adulte;+100K;Non;z_Highly Rural/ Rural;Panel Truck;Commercial
183;2022-01-12 23:08:43;dev_premium;0;agé;+100K;Non;Highly Urban/ Urban;Van;Private
184;2022-05-27 23:47:01;dev_express;1;agé;"[0;25K]";Non;Highly Urban/ Urban;Pickup;Private
185;2022-04-10 22:38:24;dev_premium;6;jeune;"[+25K;50K]";Oui;Highly Urban/ Urban;z_SUV;Commercial
186;2022-03-23 18:01:21;dev_integral;0;agé;"[0;25K]";Non;Highly Urban/ Urban;z_SUV;Private
187;2022-05-24 20:26:04;dev_integral;0;jeune;"[0;25K]";Oui;Highly Urban/ Urban;z_SUV;Private
188;2022-01-05 12:35:20;dev_premium;0;agé;"[0;25K]";Non;Highly Urban/ Urban;z_SUV;Private
189;2022-05-17 21:03:46;dev_vip;0;jeune;"[+75K;100K]";Non;Highly Urban/ Urban;Minivan;Private
190;2022-05-30 12:05:26;dev_express;5;adulte;"[+75K;100K]";Non;Highly Urban/ Urban;Van;Commercial
191;2022-01-25 11:38:44;dev_premium;3;jeune;"[+25K;50K]";Non;Highly Urban/ Urban;Sports Car;Private
192;2022-01-30 11:59:40;dev_integral;0;agé;+100K;Non;z_Highly Rural/ Rural;Sports Car;Private
193;2022-01-04 16:07:33;dev_premium;1;jeune;"[+50K;75K]";Non;Highly Urban/ Urban;Panel Truck;Commercial
194;2022-02-11 19:58:24;dev_integral;0;adulte;+100K;Non;Highly Urban/ Urban;z_SUV;Private
195;2022-04-07 02:19:19;dev_premium;3;agé;"[+50K;75K]";Oui;Highly Urban/ Urban;Sports Car;Private
196;2022-02-09 23:54:33;dev_express;4;adulte;"[+50K;75K]";Oui;Highly Urban/ Urban;Minivan;Private
197;2022-04-27 04:09:11;dev_express;2;agé;+100K;Non;Highly Urban/ Urban;Panel Truck;Commercial
198;2022-05-25 06:02:32;dev_integral;0;adulte;"[+25K;50K]";Oui;Highly Urban/ Urban;z_SUV;Private
199;2022-02-10 21:22:48;dev_express;0;agé;"[+25K;50K]";Non;z_Highly Rural/ Rural;Minivan;Commercial
200;2022-03-14 03:24:07;dev_express;9;jeune;"[+25K;50K]";Non;Highly Urban/ Urban;Sports Car;Private
201;2022-05-11 10:53:02;dev_integral;4;agé;"[+50K;75K]";Non;Highly Urban/ Urban;Pickup;Commercial
202;2022-04-09 06:44:09;dev_premium;0;adulte;"[+25K;50K]";Oui;Highly Urban/ Urban;Minivan;Commercial
203;2022-04-14 10:57:46;dev_premium;2;agé;"[+50K;75K]";Non;z_Highly Rural/ Rural;z_SUV;Commercial
204;2022-04-18 10:41:40;dev_express;3;agé;"[+25K;50K]";Oui;Highly Urban/ Urban;Sports Car;Private
205;2022-03-23 00:19:13;dev_express;0;adulte;"[+50K;75K]";Non;Highly Urban/ Urban;Minivan;Commercial
206;2022-05-09 19:49:17;dev_integral;6;agé;"[+50K;75K]";Non;Highly Urban/ Urban;Minivan;Commercial
207;2022-02-04 03:00:54;dev_express;0;adulte;"[0;25K]";Non;z_Highly Rural/ Rural;Minivan;Private
208;2022-04-19 01:02:50;dev_premium;1;adulte;"[+25K;50K]";Oui;Highly Urban/ Urban;Panel Truck;Commercial
209;2022-04-03 22:13:58;dev_integral;0;adulte;"[+25K;50K]";Oui;z_Highly Rural/ Rural;z_SUV;Private
210;2022-01-18 05:21:31;dev_integral;1;jeune;"[+50K;75K]";Oui;z_Highly Rural/ Rural;Minivan;Private
211;2022-03-23 16:17:22;dev_express;1;adulte;+100K;Non;Highly Urban/ Urban;Panel Truck;Commercial
212;2022-05-02 16:43:37;dev_integral;1;adulte;"[+25K;50K]";Non;Highly Urban/ Urban;z_SUV;Private
213;2022-01-19 00:38:48;dev_express;1;adulte;"[+25K;50K]";Non;Highly Urban/ Urban;Van;Commercial
214;2022-02-15 23:41:41;dev_integral;5;adulte;"[+25K;50K]";Oui;Highly Urban/ Urban;Van;Commercial
215;2022-01-03 06:55:38;dev_premium;0;agé;+100K;Non;Highly Urban/ Urban;z_SUV;Private
216;2022-03-27 02:40:21;dev_express;2;adulte;"[+25K;50K]";Oui;Highly Urban/ Urban;Pickup;Private
217;2022-04-02 14:20:38;dev_premium;8;jeune;"[+50K;75K]";Non;Highly Urban/ Urban;z_SUV;Private
218;2022-04-30 22:44:59;dev_premium;0;adulte;"[0;25K]";Non;Highly Urban/ Urban;Sports Car;Private
219;2022-04-07 11:09:26;dev_integral;1;agé;"[+25K;50K]";Oui;z_Highly Rural/ Rural;Minivan;Private
220;2022-01-22 06:45:54;dev_integral;0;agé;+100K;Oui;Highly Urban/ Urban;Sports Car;Private
221;2022-05-07 03:05:47;dev_integral;0;agé;"[0;25K]";Oui;z_Highly Rural/ Rural;Pickup;Commercial
222;2022-01-07 07:53:02;dev_premium;4;jeune;"[+75K;100K]";Non;Highly Urban/ Urban;z_SUV;Private
223;2022-01-05 18:21:07;dev_integral;5;jeune;+100K;Oui;Highly Urban/ Urban;z_SUV;Commercial
224;2022-05-13 15:01:42;dev_integral;0;agé;"[+25K;50K]";Non;Highly Urban/ Urban;Minivan;Commercial
225;2022-05-11 05:29:36;dev_express;4;adulte;+100K;Non;Highly Urban/ Urban;Minivan;Private
226;2022-03-29 05:23:58;dev_integral;3;agé;"[+25K;50K]";Non;Highly Urban/ Urban;z_SUV;Private
227;2022-02-12 09:30:57;dev_premium;0;jeune;"[+25K;50K]";Oui;z_Highly Rural/ Rural;z_SUV;Private
228;2022-03-18 03:20:11;dev_premium;0;agé;"[0;25K]";Non;Highly Urban/ Urban;Minivan;Private
229;2022-01-25 12:09:45;dev_express;5;agé;"[+25K;50K]";Non;Highly Urban/ Urban;Pickup;Private
230;2022-05-11 03:18:18;dev_express;3;jeune;"[+50K;75K]";Non;Highly Urban/ Urban;z_SUV;Private
231;2022-05-04 06:00:27;dev_express;0;jeune;"[+50K;75K]";Oui;Highly Urban/ Urban;Minivan;Private
232;2022-01-22 22:28:01;dev_express;3;jeune;"[+75K;100K]";Non;Highly Urban/ Urban;Minivan;Private
